Crash ID,State,Dayweek,Crash Type,Bus Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day,DateTime,Year,Hour,Decade
20235111,WA,Saturday,Single,No,No,110,Passenger,Female,57,No,No,40_to_64,Weekend,Day,2023-09-01 07:31:00,2023,7,2020s
20235111,WA,Saturday,Single,No,No,110,Passenger,Female,56,No,No,40_to_64,Weekend,Day,2023-09-01 07:31:00,2023,7,2020s
20233099,Qld,Sunday,Multiple,No,Yes,80,Driver,Male,45,No,No,40_to_64,Weekend,Night,2023-09-01 04:00:00,2023,4,2020s
20233098,Qld,Saturday,Multiple,No,No,100,Motorcycle rider,Male,71,No,No,65_to_74,Weekend,Day,2023-09-01 11:00:00,2023,11,2020s
20235032,WA,Sunday,Single,No,No,60,Driver,Female,66,No,No,65_to_74,Weekend,Day,2023-09-01 11:58:00,2023,11,2020s
20235046,WA,Sunday,Single,No,No,110,Passenger,Female,8,No,No,0_to_16,Weekend,Day,2023-09-01 11:44:00,2023,11,2020s
20232026,Vic,Sunday,Multiple,No,No,100,Driver,Male,51,No,No,40_to_64,Weekend,Day,2023-09-01 10:10:00,2023,10,2020s
20233066,Qld,Saturday,Single,No,No,100,Driver,Male,17,No,No,17_to_25,Weekend,Day,2023-09-01 17:00:00,2023,17,2020s
20235060,WA,Wednesday,Single,No,No,110,Driver,Male,22,No,No,17_to_25,Weekday,Day,2023-09-01 17:18:00,2023,17,2020s
20235023,WA,Wednesday,Single,No,No,70,Passenger,Male,21,No,No,17_to_25,Weekday,Day,2023-09-01 17:10:00,2023,17,2020s
20235023,WA,Wednesday,Single,No,No,70,Passenger,Male,24,No,No,17_to_25,Weekday,Day,2023-09-01 17:10:00,2023,17,2020s
20233146,Qld,Monday,Single,No,No,100,Driver,Male,25,No,No,17_to_25,Weekday,Day,2023-09-01 09:00:00,2023,9,2020s
20234036,SA,Monday,Single,No,No,60,Driver,Male,24,No,No,17_to_25,Weekday,Day,2023-09-01 15:20:00,2023,15,2020s
20233156,Qld,Friday,Multiple,No,No,60,Motorcycle rider,Male,20,No,No,17_to_25,Weekday,Day,2023-09-01 12:00:00,2023,12,2020s
20231007,NSW,Monday,Multiple,No,No,60,Motorcycle rider,Male,27,No,No,26_to_39,Weekday,Day,2023-09-01 16:52:00,2023,16,2020s
20233200,Qld,Friday,Multiple,No,No,100,Driver,Female,32,No,No,26_to_39,Weekday,Day,2023-09-01 11:00:00,2023,11,2020s
20233058,Qld,Monday,Single,No,No,100,Driver,Male,35,No,No,26_to_39,Weekday,Day,2023-09-01 08:00:00,2023,8,2020s
20233044,Qld,Wednesday,Multiple,No,Yes,110,Driver,Male,49,No,No,40_to_64,Weekday,Day,2023-09-01 13:00:00,2023,13,2020s
20231257,NSW,Monday,Single,No,No,50,Motorcycle rider,Male,60,No,No,40_to_64,Weekday,Day,2023-09-01 12:10:00,2023,12,2020s
20231058,NSW,Tuesday,Single,No,No,60,Driver,Male,47,No,No,40_to_64,Weekday,Day,2023-09-01 16:00:00,2023,16,2020s
20233018,Qld,Wednesday,Single,No,No,80,Driver,Female,55,No,No,40_to_64,Weekday,Day,2023-09-01 17:00:00,2023,17,2020s
20233029,Qld,Friday,Multiple,No,No,40,Driver,Female,52,No,No,40_to_64,Weekday,Day,2023-09-01 07:00:00,2023,7,2020s
20235075,WA,Saturday,Single,No,No,70,Driver,Female,27,No,No,26_to_39,Weekend,Night,2023-09-01 03:31:00,2023,3,2020s
20234070,SA,Thursday,Multiple,No,No,100,Driver,Male,53,No,No,40_to_64,Weekday,Day,2023-09-01 14:10:00,2023,14,2020s
20231100,NSW,Tuesday,Multiple,No,No,80,Driver,Male,50,No,No,40_to_64,Weekday,Day,2023-09-01 06:50:00,2023,6,2020s
